dispensary_slug,sku,batch_id,name,brand,category,variant,price_cents,thc_percent,cbd_percent,classification,in_stock,product_url,image_url,scraped_at,description,subtype,strain
the-plug-crown-heights,o99IV9lEs5,08c9fb14-82aa-4577-a4f1-049b42c4a994,Ayrloom UP (12oz) Beverage - Honeycrisp Cider | 10 THC : 5 CBD,Ayrloom,edible,12fl oz,400,10,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--c8585147-3e90-49e6-9069-4f0b02f746b0.jpeg,2026-05-23T21:23:53.890537+00:00,"Sip into a moment of pure bliss with Ayrloom’s Honeycrisp Cider, a perfectly balanced beverage that combines the crisp, refreshing taste of orchard-fresh apples with the gentle power of cannabinoids. With 10mg of THC and 5mg of CBD in each 12oz can, this is the ideal drink to relax, unwind, and enhance your mood—whether you’re enjoying a quiet evening or sharing a moment with friends. The natural sweetness of Honeycrisp apples gives this cider a bright, delicious flavor that’s both invigorating and soothing. With a touch of tartness and a smooth finish, it’s a taste of fall in every sip. But the true magic lies in the carefully crafted blend of THC and CBD. The 10mg of THC provides a mild, uplifting euphoria, while the 5mg of CBD helps to balance and calm your body and mind—creating a perfect harmony of relaxation without overwhelming effects. (10mg THC; 5mg CBD)",,
the-plug-crown-heights,9jIB3hJNEC,26688e9b-e3b2-4fc5-9394-a8ca08ea5b14,Ayrloom UP Beverage- Orange Creamsicle 10mg,Ayrloom,edible,355,400,10,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--b5685635-b19c-4484-9067-9e2f90bfc08d.jpeg,2026-05-23T21:23:53.890537+00:00,"orange + cream like a midsummer night’s dream! perfect for picnic days + sunny rays, the tried + true flavors of decadent vanilla + tangy orange have teamed up to bring you ayrloom orange creamsicle.",,
the-plug-crown-heights,TTRHg2Ddax,2e2d05e3-6eb8-46b6-9749-425e2cd81ce4,The Plug Pack - Lychee Dream | 1G Pre-Roll,The Plug Pack,preroll,1g,1000,34.02,0,sativa,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,MilCjNb6gL,002d6840-7537-4c31-b617-9bfa12cacdc8,The Plug Pack - Bomb Pop | 1G PreRoll,The Plug Pack,preroll,1g,1000,34.39,0,sativa,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,DoboEjEgKD,5e61cec1-6bf8-4382-9dfa-455cb7c9cad7,Plantwerks - House Blend #1 | 1G PreRoll,PlantWerks,preroll,1g,1300,28.5,0.109,,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_fbc6e3b0-0280-41a3-80c4-6ee1139a851b_dfa55d4a-ed84-4405-9c94-3f992524b2f7_original.png,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,bN7dvQZVA1,bd8524e7-c16a-43c6-9e2a-6a01cc9f42e2,The Plug Pack - Tequila Sunrise | 1G PreRoll,The Plug Pack,preroll,1g,1000,34.003,0,50/50,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,2xvlQ5HHQh,cb6c16a3-e14b-45e7-bcb4-03256f539d5c,Ayrloom UP (12oz) Beverage - Black Cherry,Ayrloom,edible,12fl oz,400,10,5,,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--59878ba6-9f66-407e-844e-fd1f03aed0b9.jpeg,2026-05-23T21:23:53.890537+00:00,"Crack open the perfect balance of sweet and tart with Ayrloom’s Black Cherry Beverage—a refreshing, full-bodied drink that combines the bold flavors of ripe black cherries with the calming and uplifting effects of cannabinoids. Each 12oz can delivers 10mg of THC and 5mg of CBD, providing a balanced experience that will leave you feeling relaxed, refreshed, and ready to enjoy the moment. The deep, rich taste of black cherry comes through in every sip, with a smooth, natural sweetness that’s perfectly complemented by a hint of tartness. Whether you're unwinding after a long day or looking for a refreshing beverage to enhance your social experience, this drink offers a flavorful and enjoyable way to relax. The 10mg of THC provides a mild euphoria to lift your spirits, while the 5mg of CBD helps balance the experience, soothing the mind and body for an overall sense of calm. Together, they create a balanced synergy that supports relaxation without overwhelming effects—ideal for those who appreciate a calm yet uplifting experience. (10mg THC; 5mg CBD)",,
the-plug-crown-heights,UmjtSCPal2,f7c6d373-2e32-4d6a-a04c-9914699cb458,Ayrloom UP (12oz) Beverage - Root Beer,Ayrloom,edible,12fl oz,400,10,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_92012205-05c9-4673-9255-bedab39fb8a8_767de4a5-8348-4d2d-b36e-e6b4c21bcba7_original.png,2026-05-23T21:23:53.890537+00:00,"a rebellious twist on a timeless classic. our root beer opens with warm, earthy notes of sassafras + sarsaparilla, followed by hints of smooth vanilla, sweet birch + a touch of caramel. pairs perfectly with vanilla ice cream for the ultimate float—or enjoy straight from the can for a lifted take on a throwback favorite.",,
the-plug-crown-heights,99oR830ZT9,cd887452-cc6e-44a2-8721-75b30d93778e,The Plug Pack - PB&J | 1G PreRoll,The Plug Pack,preroll,1g,1000,36.04,0,50/50,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,NxNjBpeNWK,c4625daf-6bca-44a2-bc58-7a520e3ddc81,Ayrloom UP Beverage- Vanilla Cola 10mg,Ayrloom,edible,355,400,10,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--4b3ca93c-e954-4996-abab-72bf057ba248.jpeg,2026-05-23T21:23:53.890537+00:00,"classic + refreshing cola flavor amped up with rich notes of vanilla. infused with fast acting thc, your bubbly afternoon treat will never be the same.",,
the-plug-crown-heights,7a5kBQPgjr,6c77c127-d225-48d7-b284-6c26e32896d3,Ayrloom UP Beverage- Cranapple 10mg,Ayrloom,edible,355,400,10,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--398a4f5b-2298-4521-948b-5a94a3e9b80f.jpeg,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,uijD4LtZPc,72a52724-9531-4093-91e1-30579c0c01f2,The Plug Pack - Cherry Pie | 1G PreRoll,The Plug Pack,preroll,1g,1000,30.286,0,indica,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,7Sh5s6HQjc,e9289bc6-97a3-4b80-b2d9-2bd29c011259,Ruby Farms - Super Silver Haze | 0.5G 2-Pack,Ruby Farms,preroll,1g,1400,27,0.125,sativa,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--948cfd4d-3233-47a3-9843-af2debb706db.jpeg,2026-05-23T21:23:53.890537+00:00,"Super Silver Haze is a sativa marijuana strain bred by Green House Seeds. It was the first prize winner at the High Times Cannabis Cup in 1997, 1998, and 1999. Super Silver Haze is made by crossing Skunk, Northern Lights, and Haze creates a beautiful, sticky strain that boasts an energetic, long-lasting body high. The uplifting effects are a great for high stress levels or when suffering from a lack of appetite or nausea.",,
the-plug-crown-heights,iCUWoamRCS,57aa7753-712e-4817-bb5e-c4b5c0aa4041,The Plug Pack - Chopped Cheese (28g),The Plug Pack,flower,28g,9900,28.69,0,indica,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--d04a5f3b-fa8b-4897-a3da-6e64c6ab4a8e.png,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,KrvnrGvjnz,d8f5cc6c-d654-4cb8-9a52-9517743a6526,Ayrloom UP (12oz) Beverage - Lemonade,Ayrloom,edible,355,400,10,5,sativa-dom,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--45f66ab3-d4f8-4224-9256-1defc4b6ad0d.jpeg,2026-05-23T21:23:53.890537+00:00,"your favorite summertime classic with a modern twist! perfectly sweet + never overpowering, this sublimely refreshing beverage will pair perfectly at your next outdoor gathering.",,
the-plug-crown-heights,I4k4udqwvf,076bef39-295e-40aa-a812-5cda3dc1609a,Hepworth - Durban Poison x Cherry Tart  | 2x0.5G Pre-Rolls,Hepworth,preroll,1g,900,27.235,0,sativa,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_50149862-0a1c-48ee-b6d1-035e30e9f1bf_bef00452-6994-4f78-a548-692e218330d5_original.png,2026-05-23T21:23:53.890537+00:00,"HEPWORTH's Durban Poison x Cherry Tart prerolls deliver an energizing sativa experience in a convenient 2-pack of 1g joints. This hybrid cross combines the legendary uplifting clarity of Durban Poison with the sweet, fruity notes of Cherry Tart, creating a uniquely balanced smoke. Expect bright cherry and tart berry flavors layered over earthy, herbal undertones that make each puff refreshing and flavorful. Perfect for daytime use, these sativa-dominant prerolls promote creative focus, euphoric energy, and an uplifted mood—ideal for social gatherings, outdoor adventures, or productive afternoons. Each preroll is crafted with quality flower, offering smooth, consistent burns from start to finish. Whether you're new to cannabis or a seasoned enthusiast, this 2-pack provides portable potency and exceptional taste in every session.",,
the-plug-crown-heights,w6TY99Ks18,fc66838a-904f-464b-b150-d7fffdef9f73,Anthem Bold - Pineapple Haze | Sweet Wood Tip Infused 1G Pre-Roll,Anthem,preroll,1g,2000,55.959,0,sativa,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_9c6e9b45-a371-4bed-8581-1585de3c5729_0f7734f8-e3e1-4eec-aff4-d46da2e65652_original.png,2026-05-23T21:23:53.890537+00:00,"Pineapple Haze A sativa-leaning strain with bright citrus notes, combining sweet pineapple and earthy pine. ANTHEM BOLD WOOD TIPS: Anthem Bold looks different, feels different, and hits different. Our Bold infused pre-rolls feature: Higher potency for an elevated pre-roll experience. Sweet Wood Tips to enhance the flavor experience",,
the-plug-crown-heights,yNKwzRjqNi,26f876d7-807a-44fe-b226-30115cd22811,The Plug Pack - Lychee Dream (28g),The Plug Pack,flower,28g,9900,27.02,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--ce0138d5-2b8e-485d-9775-2a0fd2a657f2.png,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,TopcSvfdSw,0b737654-21c9-41c8-b739-a10bc2f2c4bc,The Plug Pack - Chopped Cheese | 1G PreRoll,The Plug Pack,preroll,1g,1000,1.218,0,indica,TRUE,,,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,hh81h6oizK,81dc8f8d-8028-4f52-9a3d-75c8b0250856,Hepworth - Blue Nerds | 2x0.5G Pre-Rolls,Hepworth,preroll,1g,900,27.28,0,50/50,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_71a90f03-55f7-4d9e-83ac-6a6ddd998d69_4043b35d-d93e-44ec-b85a-ab17af871bf1_original.png,2026-05-23T21:23:53.890537+00:00,"Blue Nerds is a vibrant cultivar that delivers a candy-like aroma layered with notes of sweet berries, tangy citrus, and a subtle herbal finish that makes each inhale bright and enjoyable. The flavor leans fruity and slightly tart with a smooth, aromatic smoke that fans of dessert-style strains will appreciate. As a balanced hybrid, Blue Nerds offers an uplifting mental spark that boosts mood and creativity while a gentle body relaxation follows to keep the vibe calm and comfortable",,
the-plug-crown-heights,ZS0yg0m7qV,43bce592-d63b-4de4-a776-92ec937a8ed7,Ayrloom UP (12oz) Beverage - Pineapple Mango,Ayrloom,edible,355,400,10,5,sativa,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--3f96f588-f7fb-4f85-93fe-3fe099fc7603.jpeg,2026-05-23T21:23:53.890537+00:00,"juicy + perfectly sweet, naturally. no need for PTO here! capture that ooo feeling with every sip, + recharge your mind like you’re on ‘island time’.",,
the-plug-crown-heights,ruqC05iQzL,62840d83-317c-4bd2-a05f-f2ff0d1e94ff,Revert - Strawberry Amnesia | 0.5g Pre-Roll,Revert,preroll,0.5g,600,24.9,00,sativa,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_5214d01b-b3e7-447d-ad10-c21bb1add0e3_42e3851e-bb31-472c-aa47-78ea5320d148_original.png,2026-05-23T21:23:53.890537+00:00,"A powerful and uplifting flower from Dinafem Seeds, Strawberry Amnesia is a strain made in sativa heaven. Bred from Strawberry Cough and Amnesia, this strain delivers the familiar sweet strawberry and earthy flavors of its parents. Having the typical energizing and euphoric effects of a sativa, Strawberry Amnesia also induces the calming body high from its distant indica relatives. The dark green buds of Strawberry Amnesia are very dense and heavily coated in resin, so this potent sativa should be handled with caution.",,
the-plug-crown-heights,ZZTaHjGGL4,c96cae8b-de05-431b-90fc-9434bd8709c5,The Plug Pack - Tequila Sunrise (28g),The Plug Pack,flower,28g,9900,24.08,0,sativa,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--f9d3b2c0-0b10-4c3e-8bd6-5d605eb3a05e.png,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,Bq5RnbLjgO,a681aca0-0fa0-4d11-99fb-49c8f0e5d955,Revert - Forbidden Kush | 0.5g Pre-Roll,Revert,preroll,0.5g,600,27.5,0,indica,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_e7bba094-b57d-4b2f-9f53-e6a89ea91e32_dca7ec67-7f9e-45e9-a361-afc75093e8c8_original.png,2026-05-23T21:23:53.890537+00:00,"Immerse yourself in deep tranquility with Forbidden Kush, a potent sun-grown indica derived from the cross of Forbidden Fruit and OG Kush, renowned for its profound relaxation, rich flavors, and sedative embrace. Cultivated under natural sunlight to enhance its potency and terpene intensity. Available in 3.5g pre-packaged flower that delivers a slow-burning, lush smoke perfect for unwinding, melting stress, and drifting into restorative sleep",,
the-plug-crown-heights,1bIBeg9Nfm,6fdb2350-7860-44a7-82e9-f9ecb30ffeff,The Plug Pack - Bomb Pop (28g),The Plug Pack,flower,28g,9900,27.8,0,sativa,TRUE,,https://storage.googleapis.com/maui-prod-products/422821e5-fad5-4e72-8fde-dfd3c8e19d22--5374df95-5b5b-421d-bec2-66bb21d966eb.png,2026-05-23T21:23:53.890537+00:00,,,
the-plug-crown-heights,d3BLtkuFoQ,d356530f-b819-495a-9965-b8fc5510f657,High Scale (Minis) - Grapefruit OG | 1.5G,High Scale,flower,1.5g,1300,28.55,0,,TRUE,,https://storage.googleapis.com/maui-prod-hyper-media-images/product_images_c5f2dc16-1c88-45dd-90a3-89bd0cf5ebef_96cf7243-6b8f-41ea-8f0d-498b89ce3c47_original.png,2026-05-23T21:23:53.890537+00:00,,,
