dispensary_slug,sku,batch_id,name,brand,category,variant,price_cents,thc_percent,cbd_percent,classification,in_stock,product_url,image_url,scraped_at,description,subtype,strain
hold-up-roll-up,H973PRO1,H973PRO1,"""Up"" Honeycrisp Apple Cider - 10mg Beverage",ayrloom,edible,10.0 milligrams,600,10.0,5.0,hybrid,TRUE,https://holduprollup.com/menu/products/ayrloom-316069/drinks/up-honeycrisp-apple-cider-10mg-beverage-2862709,https://tymber-blaze-products.imgix.net/Screenshot-2025-05-28-at-2-37-29-PM-c485528e-3b23-42ac-a9ec-b2c974fa034f.png,2026-05-23T23:12:27.450749+00:00,"Get a taste of our 5th generation family orchard with the juicy and sweet flavors of the honeycrisp flavors of the naturally sweet but never heavy, our hemp infused fresh apple cider is the perfect way to cool down. It's equally delicious served hot! Try mulling with the cinnamon or nutmeg top create a cozy spiced cider in the cooler months. Ingredients: Fresh cider, sorebate, cannabis extract, ascorbic acid.",,
hold-up-roll-up,H575PRO1,H575PRO1,Pineapple Haze - 0.5g Pre-Roll,Revert,preroll,.5g,800,27.8,,sativa,TRUE,https://holduprollup.com/menu/products/revert-319342/preroll/pineapple-haze-05g-pre-roll-2970260,https://tymber-blaze-products.imgix.net/Revert-Preroll--Pineapple-Haze-31b4c0b4-40fd-4b0f-9869-880064bfb519.jpg,2026-05-23T23:12:27.450749+00:00,0.5gram Pre-roll Pineapple Haze is a sativa dominant hybrid (70% sativa/30% indica) strain created as a cross between the insanely delicious Pineapple X Haze strains. The onset hits you almost immediately with a euphoric and uplifted cerebral stimulation that gives you a jolt of creative energy with motivation to get outside and move.,,
hold-up-roll-up,HE48PRO1,HE48PRO1,Strawberry Amnesia - 3.5g Flower,Revert,other,1/8 oz,3300,26.1,,sativa,TRUE,https://holduprollup.com/menu/products/revert-319342/flowers/strawberry-amnesia-35g-flower-2970263,https://tymber-blaze-products.imgix.net/Screenshot-2025-02-07-at-9-31-03-PM-d40ced95-0624-4b35-a21a-b5003ce51d48.png,2026-05-23T23:12:27.450749+00:00,"Strawberry Amnesia is a sativa dominant hybrid strain created through crossing the delicious Strawberry Cough X Amnesia strains. The Strawberry Amnesia flawlessly blends together those of both of its parents, bringing mind numbing effects with cerebral clarity for a perfect daytime smoke that will give you the boost you need to get ish done. Dominant terpenes : trans-Caryophyllene - .43%, Limonene - .22, alpha-Humulene - .1% (THC 26.10%)",,Strawberry Amnesia
hold-up-roll-up,H380PRO2,H380PRO2,Strawberry Amnesia - 0.5g Pre-Roll,Revert,preroll,.5g,800,27.1,,sativa,TRUE,https://holduprollup.com/menu/products/revert-319342/preroll/strawberry-amnesia-05g-pre-roll-2970262,https://tymber-blaze-products.imgix.net/Revert-Preroll--Strawberry-Amnesia-8c693b6d-d52b-49f3-abec-ea859ef31565.jpg,2026-05-23T23:12:27.450749+00:00,"0.5gram Pre-roll Strawberry Amnesia is a sativa dominant hybrid strain created through crossing the delicious Strawberry Cough X Amnesia strains. The Strawberry Amnesia flawlessly blends together those of both of its parents, bringing mind numbing effects with cerebral clarity for a perfect daytime smoke that will give you the boost you need to get ish done. (26.30%)",,Strawberry Amnesia
hold-up-roll-up,H384PRO1,H384PRO1,Pineapple Haze - 3.5g Flower,Revert,other,1/8 oz,3300,26.5,,sativa,TRUE,https://holduprollup.com/menu/products/revert-319342/flowers/pineapple-haze-35g-flower-2970261,https://tymber-blaze-products.imgix.net/Screenshot-2024-05-04-at-6-33-13-PM-4e6b8e6d-43c9-4996-9134-1c43f11b0904.png,2026-05-23T23:12:27.450749+00:00,"Pineapple Haze is a sativa dominant hybrid (70% sativa/30% indica) strain created as a cross between the insanely delicious Pineapple X Haze strains. The onset hits you almost immediately with a euphoric and uplifted cerebral stimulation that gives you a jolt of creative energy with motivation to get outside and move. Dominant terpenes: trans-Caryophyllene - .66%, Farmesene - .36%, Limonene - .17%, alpha-Humulene - .16% (THC 26.50%)",,Sativa-Hybrid
hold-up-roll-up,HD9DPRO1,HD9DPRO1,Alaskan Thunder Fuck - 0.5g All-In-One Disposable,ayrloom,other,,3400,90.0,,sativa,TRUE,https://holduprollup.com/menu/products/ayrloom-316069/vape-disposables/alaskan-thunder-fuck-05g-all-in-one-disposable-2981255,https://tymber-blaze-products.imgix.net/Screenshot-2024-05-05-at-1-29-06-PM-9144d39e-931b-439c-9429-dd28378a2d78.png,2026-05-23T23:12:27.450749+00:00,"Alaskan Thunder Fuck is known for its combination of flavors + aromas, this iconic strain boasts notes of fresh pine, citrus + slightly sweet mint. expect to feel uplifted, social + relaxed all at the same time. 90% THC",,
hold-up-roll-up,H3A9PRO1,H3A9PRO1,Pineapple Express - 1g 510 vape Cart,Jaunty,other,1g,5000,90.0,,hybrid,TRUE,https://holduprollup.com/menu/products/jaunty-319343/vape-carts-510-thread/pineapple-express-1g-510-vape-cart-2981262,https://tymber-blaze-products.imgix.net/Screenshot-2026-02-12-at-3-51-38-PM-1776341f-0a85-4854-90cc-2392fabe74c1.png,2026-05-23T23:12:27.450749+00:00,"This classic variety packs a punch to your pallet with bright citrus notes infused with pineapple and pine. Each hit delivers a delicious dose of euphoria and laser focus effects, perfect for a midday pick - me - up.",,Sativa-Hybrid
hold-up-roll-up,HCE8PRO1,HCE8PRO1,Cereal Milk - 0.5g All-In-One Disposable,ayrloom,other,.5g,3400,90.0,,hybrid,TRUE,https://holduprollup.com/menu/products/ayrloom-316069/vape-disposables/cereal-milk-05g-all-in-one-disposable-2981259,https://tymber-blaze-products.imgix.net/image-ea511482-c57a-4184-87bc-59ef57077ba0.png,2026-05-23T23:12:27.450749+00:00,The sip-it-til-its-gone flavor of sweetness mixed with nostalgia.,,
hold-up-roll-up,H619PRO1,H619PRO1,Blueberry Kush - 1g 510 Vape,Jaunty,other,1g,5000,90.0,,indica,TRUE,https://holduprollup.com/menu/products/jaunty-319343/vape-carts-510-thread/blueberry-kush-1g-510-vape--2981258,https://tymber-blaze-products.imgix.net/Screenshot-2026-02-12-at-3-56-48-PM-612a519e-007f-44e7-9afb-d9e982170f13.png,2026-05-23T23:12:27.450749+00:00,"Common effects: body buzz, relaxed, euphoric This acclaimed Indica’s signature blueberry flavor is matched only by its heightened effects — a great after-dinner treat to help you relax and unwind.",,
hold-up-roll-up,HF94PRO1,HF94PRO1,Green Crack - 1g AIO Vape,Off Hours,other,1g,3200,85.0,,sativa,TRUE,https://holduprollup.com/menu/products/off-hours-319349/vape-disposables/green-crack-1g-aio-vape-2983037,https://tymber-blaze-products.imgix.net/Screenshot-2024-05-04-at-8-35-32-PM-3ac38852-abfa-4aaf-be6a-8fc0748650c0.png,2026-05-23T23:12:27.450749+00:00,"This vape pen offers an energizing high that is sure to leave you wide awake. Green Crack provides a bright, citrusy flavor in every hit. This device is inhale activated. Recharge with a Micro-USB cable. Plug the Micro-USD end of your device safely into a charging block or active USB port to charge your device. Optimal charge time is 30-60 minutes. Our botanical strain terpene blends are extracted from a variety of natural flora, providing a reliable, consistent aroma and flavor experience with each use. These strain-specific botanical blends were designed to be as close to the actual flower pro - file as possible. With the option to choose convenient, discrete all-in-ones or easy to use universal 510 cartridges, there’s a perfect high for everyone and every situation. AIO Device Instructions: This device is inhale activated. Recharge with a micro-USB cable. Optimal charge time is 30-60 minutes.",,
